feat_0,feat_1,feat_2,feat_3,feat_4,feat_5,feat_6,feat_7,feat_8,feat_9,feat_10,feat_11,feat_12,feat_13,feat_14,feat_15,feat_16,feat_17,feat_18,feat_19
1.0,0.71206206,0.5304072,0.5749385,0.63952965,0.3790848,0.3708776,0.46826664,0.37807947,0.37807947,0.44404837,0.37807947,0.39675176,0.5449492,0.5858025,0.56888455,0.34157684,0.37284702,0.55581635,0.5613568
0.71206206,1.0,0.6163234,0.37950516,0.5066582,0.30509192,0.28701153,0.42150486,0.2908714,0.2908714,0.33064708,0.2908714,0.32008475,0.5610048,0.5551145,0.54766244,0.31458908,0.32694694,0.53362525,0.5521719
0.5304072,0.6163234,1.0,0.39824682,0.46624437,0.4197645,0.4364658,0.48927677,0.41287327,0.41287327,0.43888545,0.41287327,0.40948457,0.5290305,0.60925424,0.6217948,0.37627506,0.45873836,0.35624397,0.4296077
0.5749385,0.37950516,0.39824682,1.0,0.89128745,0.42788357,0.41247398,0.43128267,0.4436736,0.4436736,0.49208876,0.4436736,0.46452534,0.39909354,0.545739,0.538349,0.4418775,0.47527698,0.30327895,0.353548
0.63952965,0.5066582,0.46624437,0.89128745,1.0,0.43172392,0.41155437,0.45390886,0.44525126,0.44525126,0.48650062,0.44525126,0.4486599,0.49074712,0.62046385,0.6140059,0.46811166,0.48776433,0.39116362,0.44182515
0.3790848,0.30509192,0.4197645,0.42788357,0.43172392,1.0,0.86419034,0.8554556,0.9018038,0.9018038,0.854186,0.9018038,0.53200555,0.47895196,0.48359457,0.50817066,0.61393607,0.6382064,0.4256798,0.46952114
0.3708776,0.28701153,0.4364658,0.41247398,0.41155437,0.86419034,1.0,0.74620825,0.83536047,0.83536047,0.79048926,0.83536047,0.5879624,0.47236007,0.44840905,0.4634496,0.60086346,0.6476981,0.426543,0.4687069
0.46826664,0.42150486,0.48927677,0.43128267,0.45390886,0.8554556,0.74620825,1.0,0.77826875,0.77826875,0.78703606,0.77826875,0.48953035,0.5598356,0.5381765,0.55314887,0.5948387,0.59879106,0.5253387,0.562594
0.37807947,0.2908714,0.41287327,0.4436736,0.44525126,0.9018038,0.83536047,0.77826875,1.0,1.0,0.9257281,1.0,0.49970457,0.4182023,0.46009898,0.4695742,0.5700345,0.6309306,0.3723725,0.4100748
0.37807947,0.2908714,0.41287327,0.4436736,0.44525126,0.9018038,0.83536047,0.77826875,1.0,1.0,0.9257281,1.0,0.49970457,0.4182023,0.46009898,0.4695742,0.5700345,0.6309306,0.3723725,0.4100748
0.44404837,0.33064708,0.43888545,0.49208876,0.48650062,0.854186,0.79048926,0.78703606,0.9257281,0.9257281,1.0,0.9257281,0.5575745,0.47155678,0.5151942,0.5353889,0.6119783,0.6392466,0.4181544,0.4665675
0.37807947,0.2908714,0.41287327,0.4436736,0.44525126,0.9018038,0.83536047,0.77826875,1.0,1.0,0.9257281,1.0,0.49970457,0.4182023,0.46009898,0.4695742,0.5700345,0.6309306,0.3723725,0.4100748
0.39675176,0.32008475,0.40948457,0.46452534,0.4486599,0.53200555,0.5879624,0.48953035,0.49970457,0.49970457,0.5575745,0.49970457,1.0,0.5587306,0.45909405,0.46491164,0.6710989,0.6380096,0.43254176,0.49553365
0.5449492,0.5610048,0.5290305,0.39909354,0.49074712,0.47895196,0.47236007,0.5598356,0.4182023,0.4182023,0.47155678,0.4182023,0.5587306,1.0,0.72400063,0.71179336,0.67705077,0.5613468,0.7806476,0.8518207
0.5858025,0.5551145,0.60925424,0.545739,0.62046385,0.48359457,0.44840905,0.5381765,0.46009898,0.46009898,0.5151942,0.46009898,0.45909405,0.72400063,1.0,0.84388584,0.5280129,0.5642778,0.55715084,0.6177847
0.56888455,0.54766244,0.6217948,0.538349,0.6140059,0.50817066,0.4634496,0.55314887,0.4695742,0.4695742,0.5353889,0.4695742,0.46491164,0.71179336,0.84388584,1.0,0.5366223,0.5785623,0.5293486,0.6003211
0.34157684,0.31458908,0.37627506,0.4418775,0.46811166,0.61393607,0.60086346,0.5948387,0.5700345,0.5700345,0.6119783,0.5700345,0.6710989,0.67705077,0.5280129,0.5366223,1.0,0.7294559,0.5609434,0.6198784
0.37284702,0.32694694,0.45873836,0.47527698,0.48776433,0.6382064,0.6476981,0.59879106,0.6309306,0.6309306,0.6392466,0.6309306,0.6380096,0.5613468,0.5642778,0.5785623,0.7294559,1.0,0.41584608,0.451998
0.55581635,0.53362525,0.35624397,0.30327895,0.39116362,0.4256798,0.426543,0.5253387,0.3723725,0.3723725,0.4181544,0.3723725,0.43254176,0.7806476,0.55715084,0.5293486,0.5609434,0.41584608,1.0,0.9122147
0.5613568,0.5521719,0.4296077,0.353548,0.44182515,0.46952114,0.4687069,0.562594,0.4100748,0.4100748,0.4665675,0.4100748,0.49553365,0.8518207,0.6177847,0.6003211,0.6198784,0.451998,0.9122147,1.0
