feat_0,feat_1,feat_2,feat_3,feat_4,feat_5,feat_6,feat_7,feat_8,feat_9,feat_10,feat_11,feat_12,feat_13,feat_14,feat_15,feat_16,feat_17,feat_18,feat_19
1.0,0.21477146,0.14012791,0.08956111,0.15424798,-0.07028135,-0.027947458,-0.0633753,-0.038617443,-0.038617443,-0.027273826,-0.038617443,-0.0020419445,,-0.037379023,-0.013306942,0.06306845,0.023230528,-0.048499405,-0.052807618
0.21477146,1.0,0.16952448,0.004839275,0.03394583,-0.038109206,-0.048734784,-0.06702136,-0.056024514,-0.056024514,-0.057015922,-0.056024514,0.0056402534,,0.04537196,-0.00314596,-0.005346383,-0.078128465,0.10422993,0.02292484
0.14012791,0.16952448,1.0,0.07536499,0.07022382,-0.04495518,-0.008684639,-0.04294437,-0.069735184,-0.069735184,-0.08885065,-0.069735184,0.0039768466,,-0.024846468,0.02212431,-0.00550388,-0.040574357,0.051283915,0.047772925
0.08956111,0.004839275,0.07536499,1.0,0.5357695,0.018241242,0.041692495,0.008694595,0.030460479,0.030460479,0.013066533,0.030460479,0.12005068,,0.05517033,0.055291235,0.14408422,0.11324631,-0.07654368,-0.12636635
0.15424798,0.03394583,0.07022382,0.5357695,1.0,-0.04421417,-0.017286077,-0.048320215,-0.04999872,-0.04999872,-0.06313431,-0.04999872,0.11389896,,0.022806857,0.032139614,0.095383056,0.09822722,-0.054453578,-0.11666527
-0.07028135,-0.038109206,-0.04495518,0.018241242,-0.04421417,1.0,0.8346878,0.6815019,0.8045763,0.8045763,0.58022964,0.8045763,0.04830805,,0.0038464984,-0.036827724,0.050822545,0.19946155,-0.027553659,-0.055073626
-0.027947458,-0.048734784,-0.008684639,0.041692495,-0.017286077,0.8346878,1.0,0.6677178,0.64500684,0.64500684,0.3982794,0.64500684,0.029268574,,0.019387819,-0.0368726,0.056062475,0.18973601,-0.060179137,-0.05179473
-0.0633753,-0.06702136,-0.04294437,0.008694595,-0.048320215,0.6815019,0.6677178,1.0,0.5552228,0.5552228,0.4009693,0.5552228,0.03646274,,0.026627311,-0.009821051,0.041534465,0.22798978,-0.03518313,-0.0005210512
-0.038617443,-0.056024514,-0.069735184,0.030460479,-0.04999872,0.8045763,0.64500684,0.5552228,1.0,1.0,0.9025585,1.0,0.090351984,,-0.0055915094,-0.039828625,0.059568264,0.2665252,-0.034365974,-0.032909755
-0.038617443,-0.056024514,-0.069735184,0.030460479,-0.04999872,0.8045763,0.64500684,0.5552228,1.0,1.0,0.9025585,1.0,0.090351984,,-0.0055915094,-0.039828625,0.059568264,0.2665252,-0.034365974,-0.032909755
-0.027273826,-0.057015922,-0.08885065,0.013066533,-0.06313431,0.58022964,0.3982794,0.4009693,0.9025585,0.9025585,1.0,0.9025585,0.09878225,,-0.020621533,-0.027375648,0.035307188,0.29273176,-0.0024785255,-0.006671437
-0.038617443,-0.056024514,-0.069735184,0.030460479,-0.04999872,0.8045763,0.64500684,0.5552228,1.0,1.0,0.9025585,1.0,0.090351984,,-0.0055915094,-0.039828625,0.059568264,0.2665252,-0.034365974,-0.032909755
-0.0020419445,0.0056402534,0.0039768466,0.12005068,0.11389896,0.04830805,0.029268574,0.03646274,0.090351984,0.090351984,0.09878225,0.090351984,1.0,,-0.065543994,-0.043847766,0.109388046,0.28727946,0.14962618,0.050913613
,,,,,,,,,,,,,1.0,,,,,,
-0.037379023,0.04537196,-0.024846468,0.05517033,0.022806857,0.0038464984,0.019387819,0.026627311,-0.0055915094,-0.0055915094,-0.020621533,-0.0055915094,-0.065543994,,1.0,0.25488582,0.05015434,0.020519795,0.015114829,0.038129643
-0.013306942,-0.00314596,0.02212431,0.055291235,0.032139614,-0.036827724,-0.0368726,-0.009821051,-0.039828625,-0.039828625,-0.027375648,-0.039828625,-0.043847766,,0.25488582,1.0,0.0053504915,0.03600424,0.030696237,0.10351225
0.06306845,-0.005346383,-0.00550388,0.14408422,0.095383056,0.050822545,0.056062475,0.041534465,0.059568264,0.059568264,0.035307188,0.059568264,0.109388046,,0.05015434,0.0053504915,1.0,0.10657565,0.033924755,0.08230631
0.023230528,-0.078128465,-0.040574357,0.11324631,0.09822722,0.19946155,0.18973601,0.22798978,0.2665252,0.2665252,0.29273176,0.2665252,0.28727946,,0.020519795,0.03600424,0.10657565,1.0,0.030288607,-0.035870854
-0.048499405,0.10422993,0.051283915,-0.07654368,-0.054453578,-0.027553659,-0.060179137,-0.03518313,-0.034365974,-0.034365974,-0.0024785255,-0.034365974,0.14962618,,0.015114829,0.030696237,0.033924755,0.030288607,1.0,0.3171599
-0.052807618,0.02292484,0.047772925,-0.12636635,-0.11666527,-0.055073626,-0.05179473,-0.0005210512,-0.032909755,-0.032909755,-0.006671437,-0.032909755,0.050913613,,0.038129643,0.10351225,0.08230631,-0.035870854,0.3171599,1.0
